#           k/h    P           
 0.99999997E-04 0.61026788E+03
 0.10202013E-03 0.62200739E+03
 0.10408108E-03 0.63397235E+03
 0.10618366E-03 0.64616724E+03
 0.10832871E-03 0.65859644E+03
 0.11051710E-03 0.67126428E+03
 0.11274968E-03 0.68417548E+03
 0.11502737E-03 0.69733466E+03
 0.11735109E-03 0.71074646E+03
 0.11972173E-03 0.72441583E+03
 0.12214028E-03 0.73834766E+03
 0.12460767E-03 0.75254694E+03
 0.12712492E-03 0.76701880E+03
 0.12969300E-03 0.78176837E+03
 0.13231297E-03 0.79680109E+03
 0.13498588E-03 0.81212231E+03
 0.13771278E-03 0.82773749E+03
 0.14049475E-03 0.84365222E+03
 0.14333293E-03 0.85987231E+03
 0.14622846E-03 0.87640344E+03
 0.14918247E-03 0.89325159E+03
 0.15219615E-03 0.91042273E+03
 0.15527071E-03 0.92792310E+03
 0.15840739E-03 0.94575885E+03
 0.16160744E-03 0.96393646E+03
 0.16487212E-03 0.98246240E+03
 0.16820275E-03 0.10013433E+04
 0.17160067E-03 0.10205858E+04
 0.17506724E-03 0.10401968E+04
 0.17860383E-03 0.10601833E+04
 0.18221186E-03 0.10805525E+04
 0.18589280E-03 0.11013115E+04
 0.18964807E-03 0.11224677E+04
 0.19347922E-03 0.11440286E+04
 0.19738778E-03 0.11660018E+04
 0.20137527E-03 0.11883953E+04
 0.20544330E-03 0.12112167E+04
 0.20959355E-03 0.12344744E+04
 0.21382760E-03 0.12581763E+04
 0.21814722E-03 0.12823311E+04
 0.22255408E-03 0.13069470E+04
 0.22704997E-03 0.13320328E+04
 0.23163669E-03 0.13575974E+04
 0.23631606E-03 0.13836497E+04
 0.24108996E-03 0.14101987E+04
 0.24596031E-03 0.14372538E+04
 0.25092901E-03 0.14648243E+04
 0.25599814E-03 0.14929200E+04
 0.26116965E-03 0.15215507E+04
 0.26644560E-03 0.15507262E+04
 0.27182818E-03 0.15804568E+04
 0.27731949E-03 0.16107528E+04
 0.28292168E-03 0.16416246E+04
 0.28863709E-03 0.16730830E+04
 0.29446793E-03 0.17051387E+04
 0.30041661E-03 0.17378027E+04
 0.30648540E-03 0.17710862E+04
 0.31267683E-03 0.18050007E+04
 0.31899329E-03 0.18395577E+04
 0.32543740E-03 0.18747692E+04
 0.33201167E-03 0.19106470E+04
 0.33871876E-03 0.19472034E+04
 0.34556136E-03 0.19844508E+04
 0.35254212E-03 0.20224016E+04
 0.35966394E-03 0.20610688E+04
 0.36692963E-03 0.21004653E+04
 0.37434211E-03 0.21406042E+04
 0.38190430E-03 0.21814990E+04
 0.38961932E-03 0.22231636E+04
 0.39749016E-03 0.22656113E+04
 0.40552000E-03 0.23088567E+04
 0.41371203E-03 0.23529138E+04
 0.42206954E-03 0.23977971E+04
 0.43059592E-03 0.24435215E+04
